number,question,a,b,c,d
"1","Даете ли вы обратную связь отклоненным кандидатам?","Никогда","Иногда","Часто","Всегда"
"2","Храните ли вы резюме в кадровом резерве?","Никогда","Иногда","Часто","Всегда"
"3","Используете ли вы автоматизированные письма для отказа?","Никогда","Иногда","Часто","Всегда"
"4","Персонализируете ли вы коммуникацию с топ-кандидатами?","Никогда","Иногда","Часто","Всегда"
"5","Отслеживаете ли вы, куда устраиваются отказанные кандидаты?","Никогда","Иногда","Часто","Всегда"
"6","Предлагаете ли вы альтернативные вакансии подходящим кандидатам?","Никогда","Иногда","Часто","Всегда"
"7","Просите ли вы feedback о процессе у кандидатов?","Никогда","Иногда","Часто","Всегда"
"8","Работаете ли вы с негативными отзывами о компании?","Никогда","Иногда","Часто","Всегда"
"9","Обновляете ли вы базу кандидатов?","Никогда","Иногда","Часто","Всегда"
"10","Анализируете ли вы причины отказов со стороны кандидатов?","Никогда","Иногда","Часто","Всегда"
