number,question,a,b,c,d,e
"1","Как часто вы используете метод структурированного интервью?","Никогда","Редко","Иногда","Часто","Всегда"
"2","Хорошо ли вы разбираетесь в оценке soft skills кандидата?","Совсем не разбираюсь","Слабо разбираюсь","Умею, но есть пробелы","Хорошо разбираюсь","Отлично разбираюсь"
"3","Как часто вы анализируете рынок труда перед началом поиска?","Никогда","Редко","Иногда","Часто","Всегда"
"4","Видите ли вы ложь в резюме или на собеседовании?","Никогда","Редко","Иногда","Часто","Почти всегда"
"5","Используете ли вы LinkedIn для поиска кандидатов?","Никогда","Редко","Иногда","Часто","Всегда"
"6","Как часто вы применяете кейс-методы в интервью?","Никогда","Редко","Иногда","Часто","Всегда"
"7","Обращаетесь ли вы во время своей работы к законодательству о труде?","Никогда","Редко","Иногда","Часто","Всегда"
"8","Часто ли вы правильно формулируете вакансии?","Никогда","Редко","Иногда","Часто","Всегда"
"9","Как часто вы успешно закрываете сложные позиции?","Никогда","Редко","Иногда","Часто","Всегда"
"10","Как часто вы получаете обратную связь от нанимающих менеджеров?","Никогда","Редко","Иногда","Часто","Всегда"
