number,question,a,b,c
"1","Вы заранее готовите вопросы под конкретную вакансию?","Нет","Иногда","Да"
"2","Используете ли вы метод STAR (Situation, Task, Action, Result)?","Нет","Иногда","Да"
"3","Задаете ли вы вопросы на проверку лояльности?","Нет","Иногда","Да"
"4","Проверяете ли вы референсы кандидатов?","Нет","Иногда","Да"
"5","Учитываете ли вы культурный fit (соответствие ценностям компании)?","Нет","Иногда","Да"
"6","Даете ли вы кандидату возможность задать вопросы?","Нет","Иногда","Да"
"7","Используете ли стресс-интервью для некоторых позиций?","Нет","Иногда","Да"
"8","Анализируете ли вы язык тела кандидата?","Нет","Иногда","Да"
"9","Сравниваете ли ответы кандидата с резюме?","Нет","Иногда","Да"
"10","Фиксируете ли вы результаты собеседования сразу после него?","Нет","Иногда","Да"
