number,question,a,b,c
"1","Разъясняете ли вы KPI и ожидания от работы в первые дни?","Редко","Иногда","Постоянно"
"2","Проводите ли обучение специфике задач в начале работы?","Редко","Иногда","Постоянно"
"3","Даете ли доступ к записям обучающих вебинаров/документации?","Редко","Иногда","Постоянно"
"4","Контролируете ли нагрузку в первый месяц?","Редко","Иногда","Постоянно"
"5","Корректируете ли задачи при необходимости?","Редко","Иногда","Постоянно"
"6","Поощряете ли вопросы новичков?","Редко","Иногда","Постоянно"
"7","Связываете ли новичка с коллегами из смежных отделов?","Редко","Иногда","Постоянно"
"8","Отмечаете ли небольшие успехи сотрудника?","Редко","Иногда","Постоянно"
"9","Предоставляете ли психологическую поддержку (например, чат с HR)?","Редко","Иногда","Постоянно"
"10","Используете ли геймификацию для вовлечения?","Редко","Иногда","Постоянно"
