number,question,a,b,c,d
"1","Проводите ли вы опросы удовлетворенности после первого месяца?","Не оцениваем","Редко","Иногда","Всегда"
"2","Анализируете ли вы выполнение тестовых задач?","Не оцениваем","Редко","Иногда","Всегда"
"3","Сравниваете ли вы ожидаемые и фактические сроки вхождения в роль?","Не оцениваем","Редко","Иногда","Всегда"
"4","Учитываете ли вы мнение наставника о прогрессе новичка?","Не оцениваем","Редко","Иногда","Всегда"
"5","Отслеживаете ли текучесть в испытательный срок?","Не оцениваем","Редко","Иногда","Всегда"
"6","Проверяете ли вовлеченность (участие в собраниях, инициативы)?","Не оцениваем","Редко","Иногда","Всегда"
"7","Собираете ли feedback от команды о новом сотруднике?","Не оцениваем","Редко","Иногда","Всегда"
"8","Фиксируете ли ошибки, связанные с недостаточной адаптацией?","Не оцениваем","Редко","Иногда","Всегда"
"9","Используете ли метрики productivity (например, скорость выполнения задач)?","Не оцениваем","Редко","Иногда","Всегда"
"10","Корректируете ли программу адаптации на основе данных?","Не оцениваем","Редко","Иногда","Всегда"
