number,question,a,b,c,d
"1","Отслеживаете ли вы turnover rate (текучесть кадров)?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"2","Проводите ли exit-интервью с увольняющимися?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"3","Анализируете ли результаты engagement-опросов?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"4","Замечаете ли снижение активности сотрудников (опоздания, молчание на совещаниях)?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"5","Обсуждаете ли проблемы с командой на ретроспективах?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"6","Имеется ли программа анти-выгорания (например, дополнительные выходные)?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"7","Обучаете ли менеджеров работе с демотивированными сотрудниками?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"8","Предлагаете ли ротацию для 'перегоревших' сотрудников?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"9","Сравниваете ли уровень мотивации в разных отделах?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
"10","Вносите ли изменения в систему мотивации на основе данных?","Не реагируем","Реагируем иногда","Реагируем часто","Решаем системно"
