number,question,a,b,c
"1","Обсуждаете ли вы карьерные цели сотрудников на 1:1 встречах?","Нет","Иногда","Да"
"2","Предлагаете ли выбор проектов по интересам?","Нет","Иногда","Да"
"3","Даете ли гибкие условия работы (график, удаленка) по запросу?","Нет","Иногда","Да"
"4","Меняете ли задачи для предотвращения выгорания?","Нет","Иногда","Да"
"5","Учитываете ли тип мотивации (деньги, признание, развитие)?","Нет","Иногда","Да"
"6","Создаете ли персональные планы развития?","Нет","Иногда","Да"
"7","Поощряете ли инициативы и идеи сотрудников?","Нет","Иногда","Да"
"8","Даете ли публичную признательность за вклад?","Нет","Иногда","Да"
"9","Используете ли персонализированные бонусы (например, подарок на выбор)?","Нет","Иногда","Да"
"10","Поддерживаете ли баланс работы и жизни (wellness-программы)?","Нет","Иногда","Да"
