number,question,a,b,c,d
"1","Сравниваете ли вы turnover rate до и после изменения компенсаций?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"2","Проводите ли опросы удовлетворенности зарплатой и бонусами?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"3","Анализируете ли связь между премиями и выполнением KPI?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"4","Оцениваете ли ROI (окупаемость) программ стимулирования?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"5","Следите ли за динамикой engagement после введения новых бонусов?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"6","Учитываете ли внешние факторы (инфляцию, кризисы) при корректировке системы?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"7","Тестируете ли пилотные программы мотивации в отдельных отделах?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"8","Сравниваете ли ваши компенсации с данными конкурентов?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"9","Измеряете ли влияние бонусов на качество работы (не только количество)?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
"10","Корректируете ли систему на основе данных?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Анализируем глубоко"
