number,question,a,b,c
"1","Используете ли вы profit-sharing (долю от прибыли компании)?","Не используем","Используем иногда","Да, регулярно"
"2","Есть ли опционы для ключевых сотрудников?","Не используем","Используем иногда","Да, регулярно"
"3","Даете ли бонусы за рефералов (привлечение новых сотрудников)?","Не используем","Используем иногда","Да, регулярно"
"4","Используете ли индивидуальные бонусы за достижение личных целей?","Не используем","Используем иногда","Да, регулярно"
"5","Есть ли бонусы за лояльность (например, за стаж 5+ лет)?","Не используем","Используем иногда","Да, регулярно"
"6","Предлагаете ли 'бонус на выбор' (деньги, отпуск, обучение)?","Не используем","Используем иногда","Да, регулярно"
"7","Внедрены ли командные бонусы за общие результаты?","Не используем","Используем иногда","Да, регулярно"
"8","Используете ли разовые поощрения за нестандартные идеи?","Не используем","Используем иногда","Да, регулярно"
"9","Есть ли бонусы за здоровый образ жизни (спорт, отказ от курения)?","Не используем","Используем иногда","Да, регулярно"
"10","Даете ли премии за участие в корпоративных мероприятиях?","Не используем","Используем иногда","Да, регулярно"
