number,question,a,b,c,d,e
"1","Соответствует ли зарплата сотрудников рыночному уровню?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"2","Есть ли четкие грейды (уровни) и вилка зарплат для каждой должности?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"3","Прописаны ли KPI для премирования в должностных инструкциях?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"4","Регулярно ли проводится индексация зарплат?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"5","Учитывается ли опыт и квалификация при определении оклада?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"6","Есть ли бонусы за переработки или сверхурочную работу?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"7","Понятны ли сотрудникам условия получения премий?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"8","Сравниваете ли вы зарплаты внутри компании на предмет equity (равенства)?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"9","Учитываете ли вы региональные различия в оплате труда?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
"10","Есть ли система штрафов за нарушения, и известна ли она сотрудникам?","Совсем нет","Частично нет","Иногда","Часто да","Полностью соответствует"
