number,question,a,b,c
"1","Используете ли PIP (Plan of Improvement) для исправления ситуации?","Редко","Иногда","Постоянно"
"2","Предлагаете ли наставничество или менторство?","Редко","Иногда","Постоянно"
"3","Применяете ли перевод в другой отдел/проект?","Редко","Иногда","Постоянно"
"4","Даете ли четкие deadlines для улучшений?","Редко","Иногда","Постоянно"
"5","Рассматриваете ли понижение в должности как вариант?","Редко","Иногда","Постоянно"
"6","Используете ли мотивационные беседы вместо наказаний?","Редко","Иногда","Постоянно"
"7","Применяете ли дисциплинарные взыскания за системные нарушения?","Редко","Иногда","Постоянно"
"8","Предлагаете ли психологическую поддержку (коучинг, терапия)?","Редко","Иногда","Постоянно"
"9","Проводите ли медиации при конфликтах?","Редко","Иногда","Постоянно"
"10","Увольняете ли сотрудника, если все методы исчерпаны?","Редко","Иногда","Постоянно"
