number,question,a,b,c,d,e
"1","Проводите ли вы регулярные 1:1 встречи для выявления сложностей?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"2","Анализируете ли вы внезапное снижение KPI или качества работы?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"3","Учитываете ли личные обстоятельства сотрудника (стресс, здоровье)?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"4","Сравниваете ли поведение с коллегами в аналогичной должности?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"5","Используете ли опросы или анонимные каналы для жалоб?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"6","Проверяете ли конфликты в команде как возможную причину?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"7","Оцениваете ли соответствие сотрудника корпоративной культуре?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"8","Отслеживаете ли частоту опозданий/прогулов?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"9","Беседуете ли с коллегами для сбора обратной связи?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
"10","Фиксируете ли случаи саботажа или нарушения правил?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Системный подход"
