number,question,a,b,c,d
"1","Анализируете ли причины увольнений проблемных сотрудников?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"2","Корректируете ли onboarding на основе предыдущих ошибок?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"3","Обучаете ли менеджеров управлению сложными подчиненными?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"4","Внедряете ли программы по укреплению корпоративной культуры?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"5","Используете ли тимбилдинги для снижения конфликтности?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"6","Создаете ли \"банк вакансий\" для внутреннего перемещения?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"7","Проводите ли тренинги по эмоциональному интеллекту?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"8","Мониторите ли workload для предотвращения выгорания?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"9","Имеется ли кодекс поведения с примерами недопустимых действий?","Не работаем","Работаем редко","Работаем часто","Проактивно"
"10","Поощряете ли открытое обсуждение проблем без страха наказания?","Не работаем","Работаем редко","Работаем часто","Проактивно"
