number,question,a,b,c,d,e
"1","Используете ли вы тесты на профпригодность при подборе?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"2","Учитываете ли вы психологическую совместимость кандидатов?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"3","Применяете ли методики распределения ролей (например, Белбин)?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"4","Соблюдаете ли баланс между опытными и новыми сотрудниками?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"5","Оцениваете ли soft skills (коммуникация, работа в команде)?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"6","Проводите ли пробные проекты для проверки взаимодействия?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"7","Учитываете ли разнообразие (гендерное, возрастное, культурное)?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"8","Анализируете ли прошлый опыт работы в командах у кандидатов?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"9","Даете ли четкое описание ролей и зон ответственности?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
"10","Проводите ли оценку лидерских качеств у будущих тимлидов?","Не учитывается","Учитывается редко","Учитывается иногда","Учитывается часто","Полностью учитывается"
