number,question,a,b,c,d
"1","Ставите ли командные KPI (помимо индивидуальных)?","Нет","Иногда","Часто","Да, системно"
"2","Анализируете ли скорость достижения целей?","Нет","Иногда","Часто","Да, системно"
"3","Проводите ли оценку удовлетворенности командной работой?","Нет","Иногда","Часто","Да, системно"
"4","Используете ли метрики вовлеченности (eNPS)?","Нет","Иногда","Часто","Да, системно"
"5","Внедряете ли программы обучения под командные задачи?","Нет","Иногда","Часто","Да, системно"
"6","Делаете ли ротацию ролей для развития навыков?","Нет","Иногда","Часто","Да, системно"
"7","Сравниваете ли результаты с другими командами?","Нет","Иногда","Часто","Да, системно"
"8","Корректируете ли состав команды при низкой эффективности?","Нет","Иногда","Часто","Да, системно"
"9","Проводите ли стратегические сессии для постановки целей?","Нет","Иногда","Часто","Да, системно"
"10","Награждаете ли команды за инновационные решения?","Нет","Иногда","Часто","Да, системно"
