number,question,a,b,c
"1","Проводите ли ретроспективы для анализа работы?","Никогда","Иногда","Регулярно"
"2","Используете ли тимбилдинги и нетворкинг-мероприятия?","Никогда","Иногда","Регулярно"
"3","Внедряете ли инструменты для коллаборации (Trello, Notion)?","Никогда","Иногда","Регулярно"
"4","Развиваете ли культуру открытой обратной связи?","Никогда","Иногда","Регулярно"
"5","Обучаете ли сотрудников ненасильственному общению (NVC)?","Никогда","Иногда","Регулярно"
"6","Решаете ли конфликты через медиации?","Никогда","Иногда","Регулярно"
"7","Поощряете ли кросс-функциональное взаимодействие?","Никогда","Иногда","Регулярно"
"8","Отмечаете ли командные достижения?","Никогда","Иногда","Регулярно"
"9","Проводите ли летучки/планерки для синхронизации?","Никогда","Иногда","Регулярно"
"10","Создаете ли пространство для неформального общения?","Никогда","Иногда","Регулярно"
