number,question,a,b,c
"1","Организуете ли внутренние тренинги и воркшопы?","Редко","Иногда","Активно"
"2","Оплачиваете ли внешние курсы/сертификации?","Редко","Иногда","Активно"
"3","Внедряете ли наставничество и менторство?","Редко","Иногда","Активно"
"4","Используете ли e-learning платформы (Coursera, Udemy)?","Редко","Иногда","Активно"
"5","Практикуете ли ротацию между отделами?","Редко","Иногда","Активно"
"6","Даете ли доступ к корпоративной библиотеке/базе знаний?","Редко","Иногда","Активно"
"7","Проводите ли разбор кейсов из практики компании?","Редко","Иногда","Активно"
"8","Отправляете ли сотрудников на отраслевые конференции?","Редко","Иногда","Активно"
"9","Создаете ли программы стажировок для новых навыков?","Редко","Иногда","Активно"
"10","Используете ли геймификацию в обучении (баллы, рейтинги)?","Редко","Иногда","Активно"
