number,question,a,b,c,d
"1","Сравниваете ли KPI до и после обучения?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"2","Проводите ли тестирование усвоенного материала?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"3","Собираете ли feedback от участников программ?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"4","Отслеживаете ли применение навыков в работе (наблюдения, отчеты)?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"5","Анализируете ли ROI (окупаемость) обучения?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"6","Учитываете ли % сотрудников, получивших повышение после курсов?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"7","Проверяете ли уровень удержания обученных сотрудников?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"8","Сопоставляете ли затраты на обучение с ростом продуктивности?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"9","Используете ли 360° оценку для проверки изменений?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
"10","Корректируете ли программы на основе данных?","Не оцениваем","Оцениваем иногда","Оцениваем часто","Комплексно"
